"Date","Predicted","Actual","Upper","Lower","RMSE"
2000-12-01,-8.48891614769269,-1.12589100071361,-7.27730676974142,-9.69286045318426,7.36302514697908
2001-01-01,-8.2546361396771,-0.818234134192641,-7.0523460320119,-9.46254829358235,7.43640200548446
2001-02-01,-7.47462746769856,-0.304056232005545,-6.29976911958236,-8.64450069474436,7.17057123569301
2001-03-01,-5.16891225596941,0.462476345735618,-4.16141863041746,-6.16306835924658,5.63138860170503
2001-04-01,-5.01924025063969,0.613901624504498,-4.06754035580133,-5.97246083496007,5.63314187514419
2001-05-01,-6.21493689520084,0.0108693496034151,-5.10224760515041,-7.31234168099211,6.22580624480426
2001-06-01,-5.5276812103456,-0.0926174120177814,-4.47173177679829,-6.54378861845669,5.43506379832782
2001-07-01,-3.84858567733169,0.446597851798369,-2.8899711251649,-4.83083323646432,4.29518352913006
2001-08-01,-3.33610027642793,-0.472146721460687,-2.41040814775555,-4.24837253768266,2.86395355496724
2001-09-01,-0.892548167951766,0.672898739965477,-0.130470052441967,-1.67237487290184,1.56544690791724
2001-10-01,-1.45395796578084,0.643920712841028,-0.638965292520806,-2.25327713338677,2.09787867862187
2001-11-01,-2.36722342944225,0.316388131018397,-1.50342340034307,-3.21392387130367,2.68361156046065
2001-12-01,-2.67607386009198,0.310545566205156,-1.83994255080055,-3.55494115018548,2.98661942629713
2002-01-01,-2.5204505981369,0.789050681080261,-1.68476849116443,-3.36057308599443,3.30950127921716
2002-02-01,-1.6997489416937,1.54228890340065,-0.88089989810973,-2.51040101548362,3.24203784509435
2002-03-01,-2.43413684099925,1.3213994035882,-1.55947888364003,-3.27077293082038,3.75553624458745
2002-04-01,-1.6065485859551,1.70681775400576,-0.77680907729586,-2.42904848386401,3.31336633996086
2002-05-01,-1.02132924137835,1.69052596254355,-0.268896024782239,-1.75112081347806,2.71185520392191
2002-06-01,0.110749408774195,2.2153703784096,0.798796159543504,-0.587156413354464,2.1046209696354
2002-07-01,2.00021774044854,3.71235467683726,2.56035702150947,1.42747047717202,1.71213693638872
2002-08-01,1.92489680819518,3.91791761921039,2.49797465089747,1.35379244639509,1.99302081101521
2002-09-01,2.72274875332704,4.70807672275342,3.26368437277398,2.20344760107032,1.98532796942638
